"Player,No.,Age,Height,Weight,Country,Position,Experience,Birth Date,Salary"
"Justin Bailey,38,24,193,214,United States,Forward,4,01-Jul-95,700000.00"
"Jay Beagle,83,34,191,210,Canada,Forward,11,16-Oct-85,3200000.00"
"Jordie Benn,4,32,188,199,Canada,Defense,8,26-Jul-87,2400000.00"
"Guillaume Brisebois,56,22,188,175,Canada,Defense,1,21-Jul-97,700000.00"
"Thatcher Demko,35,24,193,192,United States,Goalie,2,08-Dec-95,900000.00"
"Alexander Edler,23,33,191,212,Swedan,Defense,13,21-Apr-86,7000000.00"
"Loui Eriksson,21,34,188,179,Swedan,Forward,13,17-Jul-85,5000000.00"
"Adam Gaudette,88,23,185,184,United States,Forward,2,03-Oct-96,925000.00"
"Bo Horvat (C),53,24,183,215,Canada,Forward,5,05-Apr-95,5775000.00"
"Quinn Hughes,43,20,178,175,United States,Defense,1,14-Oct-99,"
"Zack MacEwen,71,23,191,205,Canada,Forward,1,08-Jul-96,925000.00"
"Jacob Markstrom,25,30,198,206,Swedan,Goalie,9,31-Jan-90,4000000.00"
"J.T. Miller,9,26,185,218,United States,Forward,7,14-Mar-93,6000000.00"
"Tyler Myers,57,29,203,229,United States,Defense,10,01-Feb-90,7000000.00"
"Tanner Pearson,70,27,185,201,Canada,Forward,6,10-Aug-92,3850000.00"
"Elias Pettersson,40,21,188,176,Swedan,Forward,1,12-Nov-98,925000.00"
"Antoine Roussel,26,30,180,199,France,Forward,7,21-Nov-89,3800000.00"
"Tim Schaller,59,29,188,204,United States,Forward,5,16-Nov-90,1900000.00"
"Troy Stecher,51,25,178,186,Canada,Defense,3,07-Apr-94,2325000.00"
"Brandon Sutter,20,30,191,190,United States,Forward,11,14-Feb-89,4500000.00"
"Christopher Tanev,8,30,188,197,Canada,Defense,9,20-Dec-89,"
"Jake Virtanen,18,23,185,226,Canada,Forward,4,17-Aug-96,1500000.00"
